id;nome;dt_nascimento;cpf;nome_haras;localidade_haras;uf_haras;endereco_id
1;Markets Savings Account distributed;2020-01-19T11:03:55;36530;Bedfordshire Kentucky;Human;Planner;1
2;lime;2020-01-19T10:29:17;36768;impactful Wooden Internal;Industrial sensor;bandwidth;2
3;Checking Account pink;2020-01-19T02:26:00;71302;Fresh Toys Sports;Investment Account;Personal Loan Account multi-byte connect;3
4;Persevering;2020-01-19T14:18:11;60894;Metrics connecting Investment Account;Reactive platforms bricks-and-clicks;override;4
5;Berkshire Analyst navigate;2020-01-19T16:53:20;2597;Personal Loan Account Auto Loan Account;bandwidth;transition harness;5
6;software Quality;2020-01-19T10:08:24;14563;SQL withdrawal fault-tolerant;Chicken transform;Investor scale;6
7;Movies program incubate;2020-01-18T22:57:32;20507;Practical Granite Cheese;Avenue deliver Accounts;Licensed card Generic Cotton Towels;7
8;Czech Republic payment;2020-01-19T07:49:51;5343;Naira Cheese Handcrafted;De-engineered Money Market Account;United States of America Fantastic back-end;8
9;XML;2020-01-19T14:34:59;51303;Clothing Indiana;Money Market Account XSS Borders;generating;9
10;olive;2020-01-19T18:01:17;28213;content;Chief circuit;Avon;10
