id;cpf;nome_completo;dt_nascimento;endereco_id;usuario_id
1;9393;Customer card;2020-01-19T10:16:02;1;1
2;12564;Home networks EXE;2020-01-19T08:03:31;2;2
3;60403;content Toys;2020-01-19T04:14:18;3;3
4;55417;parallelism array;2020-01-19T18:43:05;4;4
5;29000;Refined Granite Shoes Executive Fresh;2020-01-18T23:10:06;5;5
6;86353;Kentucky;2020-01-19T08:50:13;6;6
7;90974;Sierra Leone panel Designer;2020-01-18T19:39:17;7;7
8;60756;Pizza solid state user-facing;2020-01-19T03:47:19;8;8
9;82253;next-generation;2020-01-19T06:17:11;9;9
10;58157;navigate payment;2020-01-19T10:48:03;10;10
